Duration: 216 s 

Number of collocations: 1488

(('payment_terminal', 'payment_terminal'), 1)
(('school', 'place_of_worship'), 0.04918032786885246)
(('atm', 'place_of_worship'), 0.04905660377358491)
(('atm', 'doctors'), 0.04905660377358491)
(('atm', 'dentist'), 0.04905660377358491)
(('embassy', 'atm'), 0.04905660377358491)
(('embassy', 'place_of_worship'), 0.04878048780487805)
(('public_building', 'advertising'), 0.04878048780487805)
(('nightclub', 'place_of_worship'), 0.04878048780487805)
(('public_building', 'stripclub'), 0.04878048780487805)
(('public_building', 'drinking_water'), 0.04878048780487805)
(('public_building', 'fountain'), 0.04878048780487805)
(('kindergarten', 'bicycle_parking'), 0.047752808988764044)
(('pharmacy', 'place_of_worship'), 0.045871559633027525)
(('bench', 'university'), 0.045572916666666664)
(('bank', 'doctors'), 0.045454545454545456)
(('waste_basket', 'fuel'), 0.045454545454545456)
(('bank', 'clinic'), 0.045454545454545456)
(('public_building', 'fuel'), 0.045454545454545456)
(('bank', 'police'), 0.045454545454545456)
(('bank', 'stripclub'), 0.045454545454545456)
(('cafe', 'language_school'), 0.045454545454545456)
(('clock', 'atm'), 0.045283018867924525)
(('atm', 'school'), 0.045081967213114756)
(('vending_machine', 'school'), 0.045081967213114756)
(('restaurant', 'doctors'), 0.04507042253521127)
(('cafe', 'shelter'), 0.04505813953488372)
(('recycling', 'bicycle_rental'), 0.04436860068259386)
(('bench', 'school'), 0.044270833333333336)
(('clock', 'bicycle_rental'), 0.04424778761061947)
(('library', 'bicycle_rental'), 0.04424778761061947)
(('bicycle_rental', 'public_building'), 0.04424778761061947)
(('shelter', 'waste_basket'), 0.0436046511627907)
(('post_office', 'shelter'), 0.0436046511627907)
(('school', 'shelter'), 0.0436046511627907)
(('doctors', 'post_box'), 0.043478260869565216)
(('bar', 'doctors'), 0.043478260869565216)
(('doctors', 'bbq'), 0.043478260869565216)
(('doctors', 'food_court'), 0.043478260869565216)
(('doctors', 'hospital'), 0.043478260869565216)
(('waste_basket', 'parking_entrance'), 0.04242424242424243)
(('police', 'parking_entrance'), 0.04242424242424243)
(('fountain', 'taxi'), 0.04225352112676056)
(('waste_basket', 'waste_disposal'), 0.04218362282878412)
(('shelter', 'place_of_worship'), 0.04215116279069767)
(('parking_entrance', 'shelter'), 0.04215116279069767)
(('bicycle_parking', 'public_building'), 0.042134831460674156)
(('bicycle_parking', 'bar'), 0.042134831460674156)
(('bicycle_parking', 'post_office'), 0.042134831460674156)
(('bicycle_parking', 'language_school'), 0.042134831460674156)
(('vending_machine', 'recycling'), 0.041884816753926704)
(('bicycle_repair_station', 'vending_machine'), 0.041884816753926704)
(('vending_machine', 'luggage_locker'), 0.041884816753926704)
(('community_centre', 'vending_machine'), 0.041884816753926704)
(('vending_machine', 'marketplace'), 0.041884816753926704)
(('vending_machine', 'waste_basket'), 0.041884816753926704)
(('atm', 'post_box'), 0.04150943396226415)
(('atm', 'kindergarten'), 0.04150943396226415)
(('atm', 'waste_basket'), 0.04150943396226415)
(('atm', 'marketplace'), 0.04150943396226415)
(('atm', 'university'), 0.04150943396226415)
(('fountain', 'atm'), 0.04150943396226415)
(('community_centre', 'pharmacy'), 0.04128440366972477)
(('place_of_worship', 'monastery'), 0.04065040650406504)
(('bench', 'library'), 0.040364583333333336)
(('toilets', 'parking_entrance'), 0.04)
(('toilets', 'charging_station'), 0.04)
(('doctors', 'toilets'), 0.04)
(('post_office', 'clock'), 0.04)
(('toilets', 'bus_station'), 0.04)
(('nightclub', 'theatre'), 0.04)
(('bar', 'toilets'), 0.04)
(('bus_station', 'nightclub'), 0.04)
(('nightclub', 'arts_centre'), 0.04)
(('nightclub', 'ice_cream'), 0.04)
(('nightclub', 'cinema'), 0.04)
(('social_facility', 'nightclub'), 0.04)
(('nightclub', 'fire_station'), 0.04)
(('library', 'toilets'), 0.04)
(('doctors', 'parking'), 0.03963666391412056)
(('restaurant', 'social_facility'), 0.03943661971830986)
(('post_office', 'waste_basket'), 0.03937007874015748)
